event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_atom_dTLB-stores_,mean,cpu_atom_dTLB-stores__mean,0.0886,0.0886,弱相关,2.3e-05,显著,1.3,低差异,30.0035,20723659.2801,26941473.3583,0.1916,小效应,2.702097902097902e-05,显著
cpu_atom_dTLB-stores_,std,cpu_atom_dTLB-stores__std,-0.1987,0.1987,弱相关,0.0,极显著,0.701,低差异,-29.8982,34521329.0138,24200088.324,-0.4368,小效应,0.0,显著
cpu_atom_dTLB-stores_,max,cpu_atom_dTLB-stores__max,-0.2288,0.2288,弱相关,0.0,极显著,0.6854,低差异,-31.4574,171960750.1527,117866316.5672,-0.5063,中等效应,0.0,显著
cpu_atom_dTLB-stores_,med,cpu_atom_dTLB-stores__med,0.2204,0.2204,弱相关,0.0,极显著,4.0261,高差异,302.6113,4855167.5238,19547453.644,0.4868,小效应,0.0,显著
cpu_atom_instructions_7,mean,cpu_atom_instructions_7_mean,0.1344,0.1344,弱相关,0.0,显著,1.437,低差异,43.6954,133676837.138,192087411.6066,0.2922,小效应,0.0,显著
cpu_atom_instructions_7,std,cpu_atom_instructions_7_std,-0.1174,0.1174,弱相关,0.0,显著,0.827,低差异,-17.2987,205059705.3522,169587049.3457,-0.2547,小效应,0.0,显著
cpu_atom_instructions_7,max,cpu_atom_instructions_7_max,-0.2404,0.2404,弱相关,0.0,极显著,0.6865,低差异,-31.3453,1142459822.8725,784351998.8675,-0.5334,中等效应,0.0,显著
cpu_atom_instructions_7,med,cpu_atom_instructions_7_med,0.2048,0.2048,弱相关,0.0,极显著,2.7928,高差异,179.2765,48969315.4258,136759792.8726,0.4509,小效应,0.0,显著
cpu_atom_iTLB-load-misses_,mean,cpu_atom_iTLB-load-misses__mean,-0.0082,0.0082,弱相关,0.69664,不显著,0.9819,低差异,-1.8138,454349.5426,446108.4471,-0.0176,小效应,0.7050332530120482,不显著
cpu_atom_iTLB-load-misses_,std,cpu_atom_iTLB-load-misses__std,-0.5052,0.5052,中等相关,0.0,极显著,0.4841,低差异,-51.5919,775982.4625,375638.479,-1.2612,大效应,0.0,显著
cpu_atom_iTLB-load-misses_,max,cpu_atom_iTLB-load-misses__max,-0.5594,0.5594,中等相关,0.0,极显著,0.4791,低差异,-52.0927,4124852.5014,1976105.4046,-1.4539,大效应,0.0,显著
cpu_atom_iTLB-load-misses_,med,cpu_atom_iTLB-load-misses__med,0.2241,0.2241,弱相关,0.0,极显著,2.8115,高差异,181.1524,120641.5574,339186.5845,0.4954,小效应,0.0,显著
cpu_atom_L1-dcache-loads_,mean,cpu_atom_L1-dcache-loads__mean,0.1152,0.1152,弱相关,0.0,显著,1.4685,低差异,46.8531,35179142.2485,51661674.2444,0.2499,小效应,0.0,显著
cpu_atom_L1-dcache-loads_,std,cpu_atom_L1-dcache-loads__std,-0.0817,0.0817,弱相关,9.5e-05,显著,0.846,低差异,-15.4031,55290580.8703,46774137.7083,-0.1766,小效应,0.00010931506849315069,显著
cpu_atom_L1-dcache-loads_,max,cpu_atom_L1-dcache-loads__max,-0.1018,0.1018,弱相关,1e-06,显著,0.8158,低差异,-18.4163,278419049.4342,227144478.1376,-0.2204,小效应,1.2e-06,显著
